#NAME,sample4,sample3,sample2,sample1
S,20.0,28,27,26
L,12.0,13,13,17
K,8.0,6,5,8
J,4.0,4,3,3
G,3.0,2,3,3
V,3.0,3,4,4
M,3.0,3,3,3
U,2.0,4,3,3
C,2.0,7,7,7
O,2.0,2,2,2
T,2.0,2,2,2
H,2.0,4,4,4
F,1.0,2,1,1
N,1.0,1,1,1
P,1.0,2,2,2
E,1.0,2,2,2
D,1.0,1,1,1
I,0.0,2,2,2
